geoid,year,NAME,B01001_001E,B19013_001E,B25077_001E,B03002_003E,B03002_004E,B02001_004E,B03002_006E,B03002_007E,B03002_008E,B03002_009E,B03002_012E,state,county,tract
06075022901,2013,"Census Tract 229.01, San Francisco County, California",4303.0,60479.0,758200.0,1218.0,165.0,47.0,324.0,0.0,13.0,85.0,2498.0,06,075,022901
06075022902,2013,"Census Tract 229.02, San Francisco County, California",2426.0,90200.0,711400.0,908.0,189.0,0.0,197.0,0.0,0.0,57.0,1075.0,06,075,022902
06075022903,2013,"Census Tract 229.03, San Francisco County, California",3033.0,63750.0,681400.0,1274.0,79.0,8.0,155.0,0.0,0.0,168.0,1349.0,06,075,022903
06075023001,2013,"Census Tract 230.01, San Francisco County, California",5179.0,51659.0,531700.0,313.0,1125.0,15.0,3073.0,0.0,0.0,92.0,576.0,06,075,023001
06075023003,2013,"Census Tract 230.03, San Francisco County, California",3914.0,79890.0,496500.0,536.0,1261.0,24.0,1380.0,0.0,0.0,78.0,635.0,06,075,023003
06075023102,2013,"Census Tract 231.02, San Francisco County, California",3950.0,34617.0,378300.0,169.0,2594.0,0.0,359.0,78.0,0.0,40.0,710.0,06,075,023102
06075023103,2013,"Census Tract 231.03, San Francisco County, California",3959.0,18846.0,313000.0,172.0,2439.0,0.0,66.0,542.0,0.0,302.0,438.0,06,075,023103
06075023200,2013,"Census Tract 232, San Francisco County, California",4385.0,43906.0,444300.0,387.0,1961.0,173.0,629.0,19.0,0.0,106.0,1283.0,06,075,023200
06075023300,2013,"Census Tract 233, San Francisco County, California",3484.0,75857.0,508100.0,178.0,453.0,0.0,2028.0,0.0,0.0,46.0,779.0,06,075,023300
06075023400,2013,"Census Tract 234, San Francisco County, California",3716.0,54786.0,497500.0,169.0,593.0,51.0,503.0,54.0,28.0,43.0,2275.0,06,075,023400
06075025100,2013,"Census Tract 251, San Francisco County, California",3310.0,85345.0,737000.0,1799.0,143.0,7.0,597.0,0.0,0.0,62.0,709.0,06,075,025100
06075025200,2013,"Census Tract 252, San Francisco County, California",5779.0,108179.0,819300.0,2845.0,267.0,19.0,856.0,0.0,12.0,280.0,1500.0,06,075,025200
06075025300,2013,"Census Tract 253, San Francisco County, California",4462.0,113854.0,784800.0,2328.0,132.0,20.0,495.0,0.0,52.0,113.0,1342.0,06,075,025300
06075025401,2013,"Census Tract 254.01, San Francisco County, California",3760.0,80139.0,749500.0,1497.0,88.0,9.0,535.0,22.0,0.0,302.0,1316.0,06,075,025401
06075025402,2013,"Census Tract 254.02, San Francisco County, California",3358.0,87844.0,760500.0,1367.0,41.0,0.0,913.0,104.0,0.0,224.0,709.0,06,075,025402
06075025403,2013,"Census Tract 254.03, San Francisco County, California",5383.0,66667.0,680500.0,1205.0,213.0,37.0,1338.0,0.0,64.0,200.0,2363.0,06,075,025403
06075025500,2013,"Census Tract 255, San Francisco County, California",8793.0,92656.0,642000.0,2264.0,27.0,82.0,3086.0,0.0,32.0,61.0,3241.0,06,075,025500
06075025600,2013,"Census Tract 256, San Francisco County, California",5786.0,71367.0,564200.0,1071.0,78.0,9.0,3239.0,25.0,197.0,154.0,1022.0,06,075,025600
06075025701,2013,"Census Tract 257.01, San Francisco County, California",4557.0,78819.0,587400.0,1148.0,238.0,30.0,2634.0,3.0,0.0,41.0,463.0,06,075,025701
06075025702,2013,"Census Tract 257.02, San Francisco County, California",4313.0,55215.0,579300.0,621.0,101.0,0.0,2716.0,0.0,0.0,15.0,860.0,06,075,025702
06075025800,2013,"Census Tract 258, San Francisco County, California",1986.0,46447.0,575800.0,165.0,88.0,11.0,1138.0,0.0,0.0,33.0,551.0,06,075,025800
06075025900,2013,"Census Tract 259, San Francisco County, California",4005.0,82500.0,639000.0,776.0,381.0,0.0,1953.0,0.0,28.0,31.0,836.0,06,075,025900
06075026001,2013,"Census Tract 260.01, San Francisco County, California",5408.0,63449.0,552000.0,663.0,124.0,18.0,1889.0,118.0,0.0,194.0,2402.0,06,075,026001
06075026002,2013,"Census Tract 260.02, San Francisco County, California",3627.0,62250.0,590600.0,830.0,88.0,10.0,1332.0,0.0,0.0,34.0,1333.0,06,075,026002
06075026003,2013,"Census Tract 260.03, San Francisco County, California",5042.0,57461.0,558700.0,541.0,42.0,63.0,1635.0,1.0,54.0,52.0,2717.0,06,075,026003
06075026004,2013,"Census Tract 260.04, San Francisco County, California",4743.0,62452.0,575200.0,425.0,70.0,0.0,2399.0,0.0,0.0,25.0,1824.0,06,075,026004
06075026100,2013,"Census Tract 261, San Francisco County, California",6759.0,68139.0,603300.0,773.0,67.0,36.0,3798.0,29.0,0.0,158.0,1934.0,06,075,026100
06075026200,2013,"Census Tract 262, San Francisco County, California",7671.0,79707.0,607800.0,769.0,132.0,50.0,4728.0,0.0,0.0,86.0,1906.0,06,075,026200
06075026301,2013,"Census Tract 263.01, San Francisco County, California",4300.0,52484.0,590000.0,521.0,70.0,9.0,2569.0,21.0,0.0,149.0,961.0,06,075,026301
06075026302,2013,"Census Tract 263.02, San Francisco County, California",5058.0,66528.0,547200.0,791.0,153.0,0.0,2600.0,105.0,0.0,107.0,1302.0,06,075,026302
06075026303,2013,"Census Tract 263.03, San Francisco County, California",5473.0,79702.0,583100.0,601.0,97.0,8.0,3165.0,0.0,0.0,44.0,1558.0,06,075,026303
06075026401,2013,"Census Tract 264.01, San Francisco County, California",3849.0,46514.0,481100.0,151.0,530.0,0.0,2449.0,4.0,0.0,86.0,629.0,06,075,026401
06075026402,2013,"Census Tract 264.02, San Francisco County, California",4203.0,65642.0,506300.0,417.0,576.0,0.0,2563.0,0.0,0.0,97.0,550.0,06,075,026402
06075026403,2013,"Census Tract 264.03, San Francisco County, California",3650.0,39000.0,500500.0,164.0,140.0,74.0,2463.0,0.0,0.0,115.0,753.0,06,075,026403
06075026404,2013,"Census Tract 264.04, San Francisco County, California",2437.0,52527.0,436000.0,19.0,630.0,2.0,1286.0,0.0,0.0,85.0,415.0,06,075,026404
06075030101,2013,"Census Tract 301.01, San Francisco County, California",4795.0,74418.0,831600.0,2984.0,103.0,0.0,1101.0,0.0,133.0,199.0,275.0,06,075,030101
06075030102,2013,"Census Tract 301.02, San Francisco County, California",4953.0,103404.0,946100.0,3011.0,91.0,63.0,1095.0,9.0,144.0,207.0,346.0,06,075,030102
06075030201,2013,"Census Tract 302.01, San Francisco County, California",4251.0,83333.0,870700.0,2313.0,8.0,0.0,1559.0,33.0,13.0,106.0,219.0,06,075,030201
06075030202,2013,"Census Tract 302.02, San Francisco County, California",4101.0,84531.0,908900.0,2446.0,111.0,0.0,976.0,0.0,0.0,293.0,275.0,06,075,030202
06075030301,2013,"Census Tract 303.01, San Francisco County, California",5551.0,91922.0,890600.0,2978.0,63.0,0.0,2090.0,0.0,0.0,116.0,304.0,06,075,030301
06075030302,2013,"Census Tract 303.02, San Francisco County, California",4059.0,128858.0,869800.0,1867.0,25.0,39.0,1798.0,0.0,0.0,156.0,174.0,06,075,030302
06075030400,2013,"Census Tract 304, San Francisco County, California",5515.0,141553.0,1000001.0,2573.0,51.0,7.0,2286.0,0.0,109.0,306.0,183.0,06,075,030400
06075030500,2013,"Census Tract 305, San Francisco County, California",2900.0,107466.0,814400.0,1449.0,277.0,54.0,584.0,1.0,0.0,192.0,374.0,06,075,030500
06075030600,2013,"Census Tract 306, San Francisco County, California",2257.0,129531.0,913400.0,1328.0,13.0,0.0,601.0,0.0,17.0,70.0,228.0,06,075,030600
06075030700,2013,"Census Tract 307, San Francisco County, California",6684.0,132396.0,836700.0,3628.0,39.0,0.0,1753.0,0.0,0.0,379.0,885.0,06,075,030700
06075030800,2013,"Census Tract 308, San Francisco County, California",5508.0,132037.0,1000001.0,2846.0,52.0,0.0,1859.0,17.0,27.0,318.0,389.0,06,075,030800
06075030900,2013,"Census Tract 309, San Francisco County, California",6477.0,147669.0,1000001.0,2891.0,185.0,0.0,2726.0,36.0,0.0,178.0,461.0,06,075,030900
06075031000,2013,"Census Tract 310, San Francisco County, California",3503.0,104744.0,830000.0,1552.0,124.0,0.0,970.0,0.0,94.0,196.0,567.0,06,075,031000
06075031100,2013,"Census Tract 311, San Francisco County, California",6433.0,108049.0,644000.0,2852.0,509.0,0.0,1910.0,0.0,0.0,255.0,907.0,06,075,031100
06075031201,2013,"Census Tract 312.01, San Francisco County, California",7628.0,71431.0,628900.0,957.0,664.0,0.0,4530.0,0.0,0.0,264.0,1213.0,06,075,031201
06075031202,2013,"Census Tract 312.02, San Francisco County, California",2946.0,72378.0,607100.0,360.0,438.0,26.0,1597.0,34.0,0.0,110.0,381.0,06,075,031202
06075031301,2013,"Census Tract 313.01, San Francisco County, California",4079.0,72348.0,631700.0,908.0,597.0,86.0,1763.0,0.0,0.0,247.0,478.0,06,075,031301
06075031302,2013,"Census Tract 313.02, San Francisco County, California",6321.0,71071.0,555600.0,761.0,1057.0,0.0,2921.0,0.0,165.0,224.0,1193.0,06,075,031302
