geoid,year,NAME,B01001_001E,B19013_001E,B25077_001E,B03002_003E,B03002_004E,B02001_004E,B03002_006E,B03002_007E,B03002_008E,B03002_009E,B03002_012E,B06009_005E,B15001_017E,B15001_050E,state,county,tract
34003055100,2018,"Census Tract 551, Bergen County, New Jersey",6792.0,210938.0,1091000.0,4651.0,115.0,0.0,1393.0,0.0,0.0,181.0,452.0,1269.0,0.0,16.0,34,003,055100
34003061200,2018,"Census Tract 612, Bergen County, New Jersey",3315.0,141069.0,857000.0,3164.0,0.0,0.0,66.0,0.0,0.0,25.0,60.0,776.0,43.0,31.0,34,003,061200
34003056200,2018,"Census Tract 562, Bergen County, New Jersey",4982.0,117824.0,459800.0,3943.0,50.0,0.0,479.0,0.0,0.0,86.0,424.0,1414.0,90.0,18.0,34,003,056200
34003046300,2018,"Census Tract 463, Bergen County, New Jersey",4593.0,77833.0,316600.0,1557.0,312.0,23.0,480.0,8.0,9.0,74.0,2130.0,918.0,106.0,62.0,34,003,046300
34003052100,2018,"Census Tract 521, Bergen County, New Jersey",7727.0,105538.0,381200.0,5916.0,28.0,0.0,393.0,0.0,0.0,0.0,1390.0,1401.0,137.0,39.0,34,003,052100
34003054300,2018,"Census Tract 543, Bergen County, New Jersey",6594.0,196806.0,604000.0,6052.0,311.0,0.0,76.0,0.0,0.0,27.0,128.0,1344.0,155.0,57.0,34,003,054300
34003059100,2018,"Census Tract 591, Bergen County, New Jersey",5361.0,93302.0,413900.0,3298.0,316.0,4.0,406.0,0.0,0.0,86.0,1251.0,1479.0,303.0,17.0,34,003,059100
34003060000,2018,"Census Tract 600, Bergen County, New Jersey",8630.0,92407.0,386600.0,5927.0,264.0,0.0,1012.0,0.0,0.0,285.0,1142.0,1482.0,163.0,105.0,34,003,060000
34003003401,2018,"Census Tract 34.01, Bergen County, New Jersey",2788.0,135833.0,381800.0,1710.0,77.0,0.0,476.0,0.0,0.0,19.0,506.0,565.0,38.0,0.0,34,003,003401
34003015400,2018,"Census Tract 154, Bergen County, New Jersey",6939.0,66177.0,312400.0,2069.0,1714.0,28.0,955.0,0.0,0.0,164.0,2031.0,1202.0,160.0,91.0,34,003,015400
