geoid,year,NAME,B01001_001E,B19013_001E,B25077_001E,B03002_003E,B03002_004E,B02001_004E,B03002_006E,B03002_007E,B03002_008E,B03002_009E,B03002_012E,B08126_003E,B08126_006E,B08126_008E,B08126_009E,B08126_011E,B08126_012E,B08126_014E,B08126_015E,B06009_005E,B15001_017E,B15001_050E,state,county,tract
06001444200,2012,"Census Tract 4442, Alameda County, California",6320.0,83125.0,409900.0,1885.0,276.0,0.0,1444.0,234.0,0.0,171.0,2310.0,242.0,255.0,43.0,83.0,593.0,216.0,217.0,0.0,756.0,159.0,24.0,06,001,444200
06001444301,2012,"Census Tract 4443.01, Alameda County, California",3735.0,82098.0,452100.0,1094.0,56.0,29.0,1156.0,0.0,32.0,207.0,1161.0,24.0,212.0,101.0,51.0,275.0,33.0,54.0,0.0,594.0,166.0,21.0,06,001,444301
06001444302,2012,"Census Tract 4443.02, Alameda County, California",4650.0,69085.0,435500.0,577.0,435.0,122.0,1187.0,0.0,0.0,240.0,2211.0,54.0,309.0,65.0,101.0,300.0,155.0,40.0,0.0,361.0,52.0,6.0,06,001,444302
06001444400,2012,"Census Tract 4444, Alameda County, California",5093.0,75625.0,391400.0,1431.0,143.0,81.0,654.0,0.0,0.0,141.0,2724.0,118.0,206.0,17.0,155.0,330.0,192.0,22.0,0.0,512.0,31.0,8.0,06,001,444400
06001444500,2012,"Census Tract 4445, Alameda County, California",6316.0,73726.0,424600.0,1500.0,262.0,0.0,1917.0,8.0,0.0,73.0,2556.0,177.0,332.0,38.0,153.0,488.0,290.0,72.0,26.0,795.0,83.0,54.0,06,001,444500
06001444601,2012,"Census Tract 4446.01, Alameda County, California",5017.0,90114.0,473300.0,1848.0,437.0,67.0,1385.0,0.0,31.0,150.0,1136.0,4.0,215.0,52.0,124.0,297.0,59.0,55.0,0.0,605.0,44.0,39.0,06,001,444601
06001444602,2012,"Census Tract 4446.02, Alameda County, California",4256.0,104551.0,395500.0,1067.0,122.0,0.0,2191.0,0.0,51.0,179.0,646.0,120.0,256.0,86.0,254.0,385.0,111.0,15.0,0.0,987.0,210.0,0.0,06,001,444602
06001450101,2012,"Census Tract 4501.01, Alameda County, California",4240.0,121042.0,495900.0,1879.0,259.0,15.0,1431.0,13.0,11.0,167.0,465.0,56.0,228.0,110.0,134.0,459.0,254.0,286.0,0.0,1124.0,114.0,12.0,06,001,450101
06001450102,2012,"Census Tract 4501.02, Alameda County, California",8345.0,128233.0,676800.0,2054.0,1679.0,155.0,1698.0,57.0,113.0,230.0,2387.0,14.0,183.0,108.0,210.0,283.0,347.0,120.0,165.0,1150.0,192.0,32.0,06,001,450102
06001450200,2012,"Census Tract 4502, Alameda County, California",4472.0,83987.0,439600.0,2479.0,134.0,0.0,910.0,0.0,0.0,317.0,632.0,151.0,376.0,86.0,217.0,453.0,66.0,52.0,16.0,1133.0,359.0,30.0,06,001,450200
06001450300,2012,"Census Tract 4503, Alameda County, California",4417.0,95750.0,487600.0,2703.0,165.0,0.0,919.0,0.0,11.0,46.0,573.0,126.0,344.0,103.0,190.0,419.0,188.0,163.0,0.0,972.0,111.0,22.0,06,001,450300
06001450400,2012,"Census Tract 4504, Alameda County, California",6122.0,98977.0,467500.0,4029.0,29.0,29.0,1012.0,0.0,0.0,81.0,942.0,126.0,670.0,112.0,172.0,490.0,400.0,96.0,0.0,1150.0,211.0,26.0,06,001,450400
06001450501,2012,"Census Tract 4505.01, Alameda County, California",3307.0,106976.0,538600.0,2126.0,95.0,0.0,375.0,0.0,0.0,125.0,586.0,55.0,274.0,119.0,144.0,158.0,233.0,126.0,12.0,675.0,32.0,0.0,06,001,450501
06001450502,2012,"Census Tract 4505.02, Alameda County, California",4703.0,148882.0,713800.0,3119.0,31.0,0.0,1049.0,0.0,0.0,230.0,274.0,96.0,170.0,93.0,331.0,339.0,98.0,78.0,0.0,1190.0,17.0,15.0,06,001,450502
06001450601,2012,"Census Tract 4506.01, Alameda County, California",3097.0,153657.0,1000001.0,2163.0,107.0,0.0,589.0,0.0,11.0,57.0,170.0,125.0,96.0,17.0,136.0,262.0,76.0,46.0,0.0,928.0,14.0,39.0,06,001,450601
06001450602,2012,"Census Tract 4506.02, Alameda County, California",8629.0,131026.0,710600.0,4986.0,253.0,8.0,1868.0,0.0,234.0,380.0,900.0,185.0,358.0,97.0,606.0,695.0,179.0,182.0,0.0,2041.0,228.0,58.0,06,001,450602
